Image_ID,Degradation,AFLB,alpha,beta,mask_area_pct
R061,Rain,AFLB2,0.4889532923698425,0.4929607808589935,0
R061,Rain,AFLB3,0.4973022043704987,0.4967121481895447,0
R062,Rain,AFLB1,0.4955234825611115,0.5059608221054077,0
R062,Rain,AFLB2,0.4934215843677521,0.4948356449604034,0
R062,Rain,AFLB3,0.4992346465587616,0.4980379045009613,0
R063,Rain,AFLB1,0.4945855438709259,0.5067180395126343,0
R063,Rain,AFLB2,0.492251992225647,0.4961745142936707,0
R063,Rain,AFLB3,0.4972013533115387,0.4977872967720032,0
R064,Rain,AFLB1,0.49415522813797,0.506709635257721,0
R064,Rain,AFLB2,0.4915889799594879,0.497310996055603,0
R064,Rain,AFLB3,0.4955004155635834,0.4976540505886078,0
R065,Rain,AFLB1,0.4943442046642303,0.5072944760322571,0
R065,Rain,AFLB2,0.4920255243778229,0.4953480362892151,0
R065,Rain,AFLB3,0.4977037608623505,0.4976552426815033,0
R066,Rain,AFLB1,0.4954406023025513,0.5051549077033997,0
R066,Rain,AFLB2,0.4939776659011841,0.4986059963703156,0
R066,Rain,AFLB3,0.4962852299213409,0.4983104467391968,0
R067,Rain,AFLB1,0.49369215965271,0.5077821016311646,0
R067,Rain,AFLB2,0.4912096858024597,0.4961938858032227,0
R067,Rain,AFLB3,0.4961534440517426,0.4974276423454285,0
R068,Rain,AFLB1,0.4935025572776794,0.5093645453453064,0
R068,Rain,AFLB2,0.4912762641906738,0.4928991794586182,0
R068,Rain,AFLB3,0.4991267621517181,0.4971384108066559,0
R069,Rain,AFLB1,0.4945720136165619,0.5068707466125488,0
R069,Rain,AFLB2,0.4924202859401703,0.496385782957077,0
R069,Rain,AFLB3,0.497210294008255,0.4977943897247314,0
R070,Rain,AFLB1,0.4919427037239075,0.5105817317962646,0
R070,Rain,AFLB2,0.4881939291954041,0.4936181604862213,0
R070,Rain,AFLB3,0.4960326254367828,0.4965032935142517,0
R071,Rain,AFLB1,0.4933969676494598,0.5088642239570618,0
R071,Rain,AFLB2,0.4904811084270477,0.4937986433506012,0
R071,Rain,AFLB3,0.4978065490722656,0.4971393346786499,0
R072,Rain,AFLB1,0.4956188499927521,0.5064650177955627,0
R072,Rain,AFLB2,0.4942097067832947,0.49381422996521,0
R072,Rain,AFLB3,0.5004711747169495,0.4978804290294647,0
R073,Rain,AFLB1,0.4952743351459503,0.5057880282402039,0
R073,Rain,AFLB2,0.4936829209327698,0.4972057640552521,0
R073,Rain,AFLB3,0.4973362386226654,0.4981464445590973,0
R074,Rain,AFLB1,0.4950710237026215,0.5053051710128784,0
R074,Rain,AFLB2,0.4929388165473938,0.4991208910942078,0
R074,Rain,AFLB3,0.4951017498970032,0.4981449842453003,0
R075,Rain,AFLB1,0.4945153295993805,0.5068240761756897,0
R075,Rain,AFLB2,0.4927328824996948,0.4969265460968018,0
R075,Rain,AFLB3,0.4968317151069641,0.4978281855583191,0
R076,Rain,AFLB1,0.4940074384212494,0.5088273882865906,0
R076,Rain,AFLB2,0.4916864931583405,0.4925417602062225,0
R076,Rain,AFLB3,0.4997034668922424,0.4972115457057953,0
R077,Rain,AFLB1,0.4948545396327972,0.506931483745575,0
R077,Rain,AFLB2,0.4932401478290558,0.4955782890319824,0
R077,Rain,AFLB3,0.4983973801136017,0.4978361129760742,0
R078,Rain,AFLB1,0.4927764236927032,0.5089216828346252,0
R078,Rain,AFLB2,0.4897128045558929,0.4952615797519684,0
R078,Rain,AFLB3,0.4957942068576813,0.4969827830791473,0
R079,Rain,AFLB1,0.4925656616687775,0.5094793438911438,0
R079,Rain,AFLB2,0.4894663393497467,0.4944430589675903,0
R079,Rain,AFLB3,0.4962534010410309,0.4968486726284027,0
R080,Rain,AFLB1,0.4951825439929962,0.5068045258522034,0
R080,Rain,AFLB2,0.4939112365245819,0.4945868253707886,0
R080,Rain,AFLB3,0.4995885193347931,0.4978381097316742,0
R081,Rain,AFLB1,0.4943240582942963,0.507510244846344,0
R081,Rain,AFLB2,0.4918264746665955,0.4950195848941803,0
R081,Rain,AFLB3,0.4978861510753632,0.4975817799568176,0
