Image_ID,Degradation,AFLB,fft_energy,low_energy,high_energy,low_pct,high_pct
R035,Rain,AFLB2,10.09933376312256,0,10.09933376312256,0,100
R035,Rain,AFLB3,1.789387226104736,0,1.789387226104736,0,100
R036,Rain,AFLB1,4.811612606048584,0,4.811612606048584,0,100
R036,Rain,AFLB2,5.919836044311523,0,5.919836044311523,0,100
R036,Rain,AFLB3,1.144251227378845,0,1.144251227378845,0,100
R037,Rain,AFLB1,5.865232944488525,0,5.865232944488525,0,100
R037,Rain,AFLB2,7.554513454437256,0,7.554513454437256,0,100
R037,Rain,AFLB3,1.504004836082458,0,1.504004836082458,0,100
R038,Rain,AFLB1,5.181709289550781,0,5.181709289550781,0,100
R038,Rain,AFLB2,6.846888542175293,0,6.846888542175293,0,100
R038,Rain,AFLB3,1.315685153007507,0,1.315685153007507,0,100
R039,Rain,AFLB1,6.527689933776855,0,6.527689933776855,0,100
R039,Rain,AFLB2,6.014451026916504,0,6.014451026916504,0,100
R039,Rain,AFLB3,0.9974817037582397,0,0.9974817037582397,0,100
R040,Rain,AFLB1,4.815288543701172,0,4.815288543701172,0,100
R040,Rain,AFLB2,6.291443347930908,0,6.291443347930908,0,100
R040,Rain,AFLB3,1.234194040298462,0,1.234194040298462,0,100
R041,Rain,AFLB1,6.247612953186035,0,6.247612953186035,0,100
R041,Rain,AFLB2,6.242349624633789,0,6.242349624633789,0,100
R041,Rain,AFLB3,1.07459282875061,0,1.07459282875061,0,100
R042,Rain,AFLB1,4.160453796386719,0,4.160453796386719,0,100
R042,Rain,AFLB2,5.277741432189941,0,5.277741432189941,0,100
R042,Rain,AFLB3,1.05760383605957,0,1.05760383605957,0,100
R043,Rain,AFLB1,3.061806201934814,0,3.061806201934814,0,100
R043,Rain,AFLB2,7.45721960067749,0,7.45721960067749,0,100
R043,Rain,AFLB3,1.817706942558289,0,1.817706942558289,0,100
R044,Rain,AFLB1,6.763071060180664,0,6.763071060180664,0,100
R044,Rain,AFLB2,10.23817348480225,0,10.23817348480225,0,100
R044,Rain,AFLB3,2.131763219833374,0,2.131763219833374,0,100
R045,Rain,AFLB1,4.801564693450928,0,4.801564693450928,0,100
R045,Rain,AFLB2,8.438957214355469,0,8.438957214355469,0,100
R045,Rain,AFLB3,1.813992142677307,0,1.813992142677307,0,100
R046,Rain,AFLB1,3.914944171905518,0,3.914944171905518,0,100
R046,Rain,AFLB2,8.144475936889648,0,8.144475936889648,0,100
R046,Rain,AFLB3,1.899140238761902,0,1.899140238761902,0,100
R047,Rain,AFLB1,5.760879039764404,0,5.760879039764404,0,100
R047,Rain,AFLB2,6.052354335784912,0,6.052354335784912,0,100
R047,Rain,AFLB3,1.074265480041504,0,1.074265480041504,0,100
R048,Rain,AFLB1,6.21429967880249,0,6.21429967880249,0,100
R048,Rain,AFLB2,8.022010803222656,0,8.022010803222656,0,100
R048,Rain,AFLB3,1.536670088768005,0,1.536670088768005,0,100
R049,Rain,AFLB1,5.103750705718994,0,5.103750705718994,0,100
R049,Rain,AFLB2,8.679298400878906,0,8.679298400878906,0,100
R049,Rain,AFLB3,1.863729953765869,0,1.863729953765869,0,100
R050,Rain,AFLB1,4.224931716918945,0,4.224931716918945,0,100
R050,Rain,AFLB2,6.225162982940674,0,6.225162982940674,0,100
R050,Rain,AFLB3,1.271937608718872,0,1.271937608718872,0,100
R051,Rain,AFLB1,8.78948974609375,0,8.78948974609375,0,100
R051,Rain,AFLB2,9.106059074401855,0,9.106059074401855,0,100
R051,Rain,AFLB3,1.598982572555542,0,1.598982572555542,0,100
R052,Rain,AFLB1,6.618765830993652,0,6.618765830993652,0,100
R052,Rain,AFLB2,8.89493465423584,0,8.89493465423584,0,100
R052,Rain,AFLB3,1.721214175224304,0,1.721214175224304,0,100
R053,Rain,AFLB1,8.238533973693848,0,8.238533973693848,0,100
R053,Rain,AFLB2,10.77169513702393,0,10.77169513702393,0,100
R053,Rain,AFLB3,2.065667152404785,0,2.065667152404785,0,100
R054,Rain,AFLB1,6.412608623504639,0,6.412608623504639,0,100
R054,Rain,AFLB2,6.787832260131836,0,6.787832260131836,0,100
R054,Rain,AFLB3,1.234336495399475,0,1.234336495399475,0,100
R055,Rain,AFLB1,11.19280624389648,0,11.19280624389648,0,100
